"Name","BQ Project","BQ Dataset","BQ Table","Full ID","Program","Category","Reference Genome","Source","Data Type","Exp. Strategy","Status","Rows","Created","Example Joins","Description","Labels","Fields"
"FILE METADATA GDC ACTIVE","isb-cgc-bq","GDC_case_file_metadata","fileData_active_current","`isb-cgc-bq.GDC_case_file_metadata.fileData_active_current`","","METADATA","","GDC","FILE METADATA","","CURRENT","1,019,317","6/28/2024","16","Data was generated from file metadata information from the GDC active archive release 40, downloaded April 2024. More details: https://docs.gdc.cancer.gov/Data/Release_Notes/Data_Release_Notes/#data-release-400","access:open, category:metadata, data_type:file_metadata, source:gdc, status:current","dbName, file_gdc_id, access, acl, analysis_input_file_gdc_ids, analysis_workflow_link, analysis_workflow_type, archive_gdc_id, archive_revision, archive_state, archive_submitter_id, associated_entities__case_gdc_id, associated_entities__entity_gdc_id, associated_entities__entity_submitter_id, associated_entities__entity_type, case_gdc_id, project_dbgap_accession_number, project_disease_type, project_name, program_dbgap_accession_number, program_name, project_short_name, created_datetime, data_category, data_format, data_type, downstream_analyses__output_file_gdc_ids, downstream_analyses__workflow_link, downstream_analyses__workflow_type, experimental_strategy, file_name, file_size, file_id, index_file_gdc_id, index_file_name, index_file_size, md5sum, platform, file_state, file_submitter_id, file_type, updated_datetime,"
"FILE METADATA GDC ACTIVE REL40 VERSIONED","isb-cgc-bq","GDC_case_file_metadata_versioned","fileData_active_r40","`isb-cgc-bq.GDC_case_file_metadata_versioned.fileData_active_r40`","","METADATA","","GDC","FILE METADATA","","CURRENT","1,019,317","6/28/2024","","Data was generated from file metadata information from the GDC active archive release 40, downloaded April 2024. More details: https://docs.gdc.cancer.gov/Data/Release_Notes/Data_Release_Notes/#data-release-400","access:open, category:metadata, data_type:file_metadata, source:gdc, status:current","dbName, file_gdc_id, access, acl, analysis_input_file_gdc_ids, analysis_workflow_link, analysis_workflow_type, archive_gdc_id, archive_revision, archive_state, archive_submitter_id, associated_entities__case_gdc_id, associated_entities__entity_gdc_id, associated_entities__entity_submitter_id, associated_entities__entity_type, case_gdc_id, project_dbgap_accession_number, project_disease_type, project_name, program_dbgap_accession_number, program_name, project_short_name, created_datetime, data_category, data_format, data_type, downstream_analyses__output_file_gdc_ids, downstream_analyses__workflow_link, downstream_analyses__workflow_type, experimental_strategy, file_name, file_size, file_id, index_file_gdc_id, index_file_name, index_file_size, md5sum, platform, file_state, file_submitter_id, file_type, updated_datetime,"
"FILE METADATA GDC LEGACY ARCHIVE","isb-cgc-bq","GDC_case_file_metadata","fileData_legacy_current","`isb-cgc-bq.GDC_case_file_metadata.fileData_legacy_current`","","METADATA","hg19","GDC","FILE METADATA","","CURRENT","837,959","11/16/2022","1","Data was generated from file metadata information from the GDC legacy archive release 37, downloaded April 2023.  More details: https://docs.gdc.cancer.gov/Data/Release_Notes/Data_Release_Notes/#data-release-370","access:open, category:metadata, data_type:file_metadata, reference_genome:hg19, source:gdc, status:current","dbName, file_gdc_id, access, acl, archive_gdc_id, archive_revision, archive_state, archive_submitter_id, associated_entities__case_gdc_id, associated_entities__entity_gdc_id, associated_entities__entity_submitter_id, associated_entities__entity_type, case_gdc_id, project_dbgap_accession_number, project_disease_type, project_name, program_dbgap_accession_number, program_name, project_short_name, center_type, center_code, center_name, center_short_name, created_datetime, data_category, data_format, data_type, experimental_strategy, file_name, file_size, file_id, index_file_gdc_id, index_file_name, index_file_size, md5sum, metadata_file_id, metadata_file_name, metadata_file_size, metadata_file_type, platform, file_state, file_submitter_id, file_tags, file_type, updated_datetime,"
"FILE METADATA GDC LEGACY REL37 VERSIONED","isb-cgc-bq","GDC_case_file_metadata_versioned","fileData_legacy_r37","`isb-cgc-bq.GDC_case_file_metadata_versioned.fileData_legacy_r37`","","METADATA","","GDC","FILE METADATA","","CURRENT","837,959","5/3/2023","","Data was generated from file metadata information from the GDC legacy archive release 37, downloaded April 2023.  More details: https://docs.gdc.cancer.gov/Data/Release_Notes/Data_Release_Notes/#data-release-370","access:open, category:metadata, data_type:file_metadata, source:gdc, status:current","dbName, file_gdc_id, access, acl, archive_gdc_id, archive_revision, archive_state, archive_submitter_id, associated_entities__case_gdc_id, associated_entities__entity_gdc_id, associated_entities__entity_submitter_id, associated_entities__entity_type, case_gdc_id, project_dbgap_accession_number, project_disease_type, project_name, program_dbgap_accession_number, program_name, project_short_name, center_type, center_code, center_name, center_short_name, created_datetime, data_category, data_format, data_type, experimental_strategy, file_name, file_size, file_id, index_file_gdc_id, index_file_name, index_file_size, md5sum, metadata_file_id, metadata_file_name, metadata_file_size, metadata_file_type, platform, file_state, file_submitter_id, file_tags, file_type, updated_datetime,"
"FM CLINICAL DATA","isb-cgc-bq","FM","clinical_gdc_current","`isb-cgc-bq.FM.clinical_gdc_current`","FM","CLINICAL BIOSPECIMEN DATA","","CDA, GDC","CLINICAL DATA","","CURRENT","18,004","12/13/2023","1","Data for the FM program was extracted by CDA using the GDC API in September 2023. This table contains information about FM patient cases and their clinical information.  More details: see https://docs.gdc.cancer.gov/Encyclopedia/pages/Clinical_Data/","access:open, category:clinical_biospecimen_data, data_type:clinical_data, program:fm, source_0:cda, source_1:gdc, status:current","submitter_id, case_id, primary_site, disease_type, proj__name, proj__project_id, demo__demographic_id, demo__gender, demo__state, demo__created_datetime, demo__updated_datetime, diag__diagnosis_id, diag__primary_diagnosis, diag__site_of_resection_or_biopsy, diag__age_at_diagnosis, diag__morphology, diag__classification_of_tumor, diag__tissue_or_organ_of_origin, diag__state, diag__created_datetime, diag__updated_datetime, state, created_datetime, updated_datetime,"
"FM CLINICAL DATA REL38 VERSIONED","isb-cgc-bq","FM_versioned","clinical_gdc_r38","`isb-cgc-bq.FM_versioned.clinical_gdc_r38`","FM","CLINICAL BIOSPECIMEN DATA","","CDA, GDC","CLINICAL DATA","","CURRENT","18,004","12/13/2023","","Data for the FM program was extracted by CDA using the GDC API in September 2023. This table contains information about FM patient cases and their clinical information.  More details: see https://docs.gdc.cancer.gov/Encyclopedia/pages/Clinical_Data/","access:open, category:clinical_biospecimen_data, data_type:clinical_data, program:fm, source_0:cda, source_1:gdc, status:current","submitter_id, case_id, primary_site, disease_type, proj__name, proj__project_id, demo__demographic_id, demo__gender, demo__state, demo__created_datetime, demo__updated_datetime, diag__diagnosis_id, diag__primary_diagnosis, diag__site_of_resection_or_biopsy, diag__age_at_diagnosis, diag__morphology, diag__classification_of_tumor, diag__tissue_or_organ_of_origin, diag__state, diag__created_datetime, diag__updated_datetime, state, created_datetime, updated_datetime,"
"FM HG38 PER SAMPLE FILE METADATA","isb-cgc-bq","FM","per_sample_file_metadata_hg38_gdc_current","`isb-cgc-bq.FM.per_sample_file_metadata_hg38_gdc_current`","FM","METADATA","hg38","CDA, GDC","FILE METADATA","","CURRENT","54,012","6/28/2024","1","Data was extracted from file metadata information for FM provided by CDA in April 2024 from the GDC release 40. More details: https://docs.gdc.cancer.gov/Data/Release_Notes/Data_Release_Notes/#data-release-400","access:open, category:metadata, data_type:file_metadata, program:fm, reference_genome_0:hg38, source_0:cda, source_1:gdc, status:current","file_gdc_id, case_gdc_id, case_barcode, sample_gdc_id, sample_barcode, sample_type_name, project_short_name, project_short_name_suffix, program_name, data_type, data_category, experimental_strategy, file_type, file_size, data_format, platform, file_name_key, index_file_id, index_file_name_key, index_file_size, access, acl,"
"FM HG38 PER SAMPLE FILE METADATA REL40 VERSIONED","isb-cgc-bq","FM_versioned","per_sample_file_metadata_hg38_gdc_r40","`isb-cgc-bq.FM_versioned.per_sample_file_metadata_hg38_gdc_r40`","FM","METADATA","hg38","CDA, GDC","FILE METADATA","","CURRENT","54,012","6/28/2024","","Data was extracted from file metadata information for FM provided by CDA in April 2024 from the GDC release 40. More details: https://docs.gdc.cancer.gov/Data/Release_Notes/Data_Release_Notes/#data-release-400","access:open, category:metadata, data_type:file_metadata, program:fm, reference_genome_0:hg38, source_0:cda, source_1:gdc, status:current","file_gdc_id, case_gdc_id, case_barcode, sample_gdc_id, sample_barcode, sample_type_name, project_short_name, project_short_name_suffix, program_name, data_type, data_category, experimental_strategy, file_type, file_size, data_format, platform, file_name_key, index_file_id, index_file_name_key, index_file_size, access, acl,"
"GDC DLBC FILE METADATA","isb-cgc","GDC_metadata","DLBC_affected_files","`isb-cgc.GDC_metadata.DLBC_affected_files`","","METADATA","hg19","GDC","FILE METADATA","","CURRENT","110","2/14/2018","","Data was generated from file metadata of genomic data from the publication (Genetics and Pathogenesis of Diffuse Large B Cell Lymphoma; New England Journal of Medicine. Volume 378 p1396-1407, 12 April 2018 10.1056/NEJMoa1801445) processed through the GDC harmonization pipeline and will be made available through the GDC. https://docs.gdc.cancer.gov/Data/Release_Notes/DLBC_Affected_Files.txt","access:open, category:metadata, data_type:file_metadata, reference_genome_0:hg19, source:gdc, status:current","file_name, case_submitter_id, file_id,"
"GDC FILE ID TO GCS URLS","isb-cgc-bq","GDC_case_file_metadata","GDCfileID_to_GCSurl_current","`isb-cgc-bq.GDC_case_file_metadata.GDCfileID_to_GCSurl_current`","","METADATA","","GDC","FILE METADATA","","CURRENT","2,904,229","7/2/2024","17","Data was generated from file metadata information from the GDC release 40, April 2024. Current google cloud storage paths are mapped to file gdc ids. More details: https://docs.gdc.cancer.gov/Data/Release_Notes/Data_Release_Notes/#data-release-400","access:open, category:metadata, data_type:file_metadata, source:gdc, status:current","file_gdc_id, file_gdc_url,"
"GDC FILE ID TO GCS URLS REL40 VERSIONED","isb-cgc-bq","GDC_case_file_metadata_versioned","GDCfileID_to_GCSurl_r40","`isb-cgc-bq.GDC_case_file_metadata_versioned.GDCfileID_to_GCSurl_r40`","","METADATA","","GDC","FILE METADATA","","CURRENT","2,904,229","7/2/2024","","Data was generated from file metadata information from the GDC release 40, April 2024. Current google cloud storage paths are mapped to file gdc ids. More details: https://docs.gdc.cancer.gov/Data/Release_Notes/Data_Release_Notes/#data-release-400","access:open, category:metadata, data_type:file_metadata, source:gdc, status:current","file_gdc_id, file_gdc_url,"
"GDC SYNC ACTIVE 20190104","isb-cgc","GDC_metadata","GDC_sync_active_20190104","`isb-cgc.GDC_metadata.GDC_sync_active_20190104`","","METADATA","hg38","GDC","FILE METADATA","","CURRENT","431,321","1/12/2019","","Data was generated from file metadata information from a sync to GDC active archive on January 2019.","access:open, category:metadata, data_type:file_metadata, reference_genome_0:hg38, source:gdc, status:current","id, project_id, file_name, md5, size, state, baseid, version, release, acl, type, deletereason, url,"
"GDC SYNC ACTIVE 20190115","isb-cgc","GDC_metadata","GDC_sync_active_20190115","`isb-cgc.GDC_metadata.GDC_sync_active_20190115`","","METADATA","hg38","GDC","FILE METADATA","","CURRENT","431,232","1/16/2019","","Data was generated from file metadata information from a sync to the GDC active archive on January 2019.","access:open, category:metadata, data_type:file_metadata, reference_genome_0:hg38, source:gdc, status:current","id, file_name, md5, size, state, project_id, baseid, version, release, acl, type, deletereason, url,"
"GDC SYNC LEGACY 20190104","isb-cgc","GDC_metadata","GDC_sync_legacy_20190104","`isb-cgc.GDC_metadata.GDC_sync_legacy_20190104`","","METADATA","hg19","GDC","FILE METADATA","","CURRENT","1,212,828","1/12/2019","","Data was generated from file metadata information from a sync to GDC legacy archive on January 2019.","access:open, category:metadata, data_type:file_metadata, reference_genome_0:hg19, source:gdc, status:current","id, project_id, file_name, md5, size, state, baseid, version, release, acl, type, deletereason, url,"
"GDC SYNC LEGACY 20190115","isb-cgc","GDC_metadata","GDC_sync_legacy_20190115","`isb-cgc.GDC_metadata.GDC_sync_legacy_20190115`","","METADATA","hg19","GDC","FILE METADATA","","CURRENT","1,212,178","1/16/2019","","Data was generated from file metadata information from a sync to the GDC legacy archive on January 2019.","access:open, category:metadata, data_type:file_metadata, reference_genome_0:hg19, source:gdc, status:current","id, file_name, md5, size, state, project_id, baseid, version, release, acl, type, deletereason, url,"
"GDC SYNC OBSOLETE 20190115","isb-cgc","GDC_metadata","GDC_sync_obsolete_20190115","`isb-cgc.GDC_metadata.GDC_sync_obsolete_20190115`","","METADATA","hg19, hg38","GDC","FILE METADATA","","CURRENT","6,568","1/16/2019","","Data was generated from file metadata information from obsolete data in the GDC as of January 2019.","access:open, category:metadata, data_type:file_metadata, reference_genome_0:hg19, reference_genome_1:hg38, source:gdc, status:current","id, file_name, md5, size, state, project_id, baseid, version, release, acl, type, deletereason, url,"
"GENCODE","isb-cgc-bq","GENCODE","annotation_gtf_hg38_current","`isb-cgc-bq.GENCODE.annotation_gtf_hg38_current`","","REFERENCE DATABASE","hg38","GENCODE","GENOME ANNOTATION","","CURRENT","3,241,002","1/26/2022","","Data was loaded from the GENCODE reference gene set, release 39 in December, 2021. These annotations are based on the hg38/GRCh38 reference genome. More details: see Harrow J, et al. (2012) GENCODE: The reference human genome annotation for The ENCODE Project http://www.ncbi.nlm.nih.gov/pubmed/22955987 and ftp://ftp.sanger.ac.uk/pub/gencode/Gencode_human/release_39/gencode.v39.annotation.gtf.gz","access:open, category:reference_database, data_type:genome_annotation, reference_genome_0:hg38, source:gencode, status:current","seqname, source, feature, start, end, score, strand, frame, gene_name, gene_id_v, gene_id, gene_type, transcript_name, transcript_id, transcript_id_v, transcript_type, transcript_support_level, exon_number, exon_id, exon_id_v, ccdsid, ccdsid_v, protein_id, protein_id_v, havana_gene, havana_gene_v, havana_transcript, havana_transcript_v, level, hgnc_id, tag, ont,"
"GENCODE 39 VERSIONED","isb-cgc-bq","GENCODE_versioned","annotation_gtf_hg38_v39","`isb-cgc-bq.GENCODE_versioned.annotation_gtf_hg38_v39`","","REFERENCE DATABASE","hg38","GENCODE","GENOME ANNOTATION","","CURRENT","3,241,002","1/26/2022","","Data was loaded from the GENCODE reference gene set, release 39 in December, 2021. These annotations are based on the hg38/GRCh38 reference genome. More details: see Harrow J, et al. (2012) GENCODE: The reference human genome annotation for The ENCODE Project http://www.ncbi.nlm.nih.gov/pubmed/22955987 and ftp://ftp.sanger.ac.uk/pub/gencode/Gencode_human/release_39/gencode.v39.annotation.gtf.gz","access:open, category:reference_database, data_type:genome_annotation, reference_genome_0:hg38, source:gencode, status:current","seqname, source, feature, start, end, score, strand, frame, gene_name, gene_id_v, gene_id, gene_type, transcript_name, transcript_id, transcript_id_v, transcript_type, transcript_support_level, exon_number, exon_id, exon_id_v, ccdsid, ccdsid_v, protein_id, protein_id_v, havana_gene, havana_gene_v, havana_transcript, havana_transcript_v, level, hgnc_id, tag, ont,"
"GENE MAPPING FOR PDC","isb-cgc-bq","PDC_metadata","gene_info_current","`isb-cgc-bq.PDC_metadata.gene_info_current`","","REFERENCE DATABASE","","PDC","GENOME ANNOTATION, PROTEOME ANNOTATION","","CURRENT","17,330","8/25/2023","","Data was extracted from getPaginatedGenes API endpoint in PDC data release V3.4, downloaded August 2023.","access:open, category:reference_database, data_type_0:genome_annotation, data_type_1:proteome_annotation, source:pdc, status:current","gene_id, NCBI_gene_id, organism, chromosome, locus, proteins, assays, authority, authority_gene_id, gene_symbol, gene_description, uniprotkb_id, uniprotkb_ids,"
"GENE MAPPING FOR PDC V3_4 VERSIONED","isb-cgc-bq","PDC_metadata_versioned","gene_info_V3_4","`isb-cgc-bq.PDC_metadata_versioned.gene_info_V3_4`","","REFERENCE DATABASE","","PDC","GENOME ANNOTATION, PROTEOME ANNOTATION","","CURRENT","17,330","8/25/2023","","Data was extracted from getPaginatedGenes API endpoint in PDC data release V3.4, downloaded August 2023.","access:open, category:reference_database, data_type_0:genome_annotation, data_type_1:proteome_annotation, source:pdc, status:current","gene_id, NCBI_gene_id, organism, chromosome, locus, proteins, assays, authority, authority_gene_id, gene_symbol, gene_description, uniprotkb_id, uniprotkb_ids,"
"GENE ONTOLOGY (GO)","isb-cgc","genome_reference","GO_Ontology","`isb-cgc.genome_reference.GO_Ontology`","","REFERENCE DATABASE","","GENE ONTOLOGY RESOURCE GO","GENE ONTOLOGY","","CURRENT","1,348","4/29/2016","","Data was loaded from the Gene Ontology Resource in April 2016. It contains the GO accession id and the GO category nae for 1348 GO categories. More details: see www.geneontology.org","access:open, category:reference_database, data_type_0:gene_ontology, source_0:gene_ontology_resource_go, status:current","GO_Accession, GO_Category_Name,"
"GENE ONTOLOGY (GO) ANNOTATIONS","isb-cgc","genome_reference","GO_Annotations","`isb-cgc.genome_reference.GO_Annotations`","","REFERENCE DATABASE","","GENE ONTOLOGY RESOURCE GO","GENE ONTOLOGY","","CURRENT","391,458","4/29/2016","","Data was loaded from GO Consortium on April 2016. GO Annotations for Homo sapiens was loaded from GO Consortium's downloader. More details: http: current.geneontology.org/products/pages/downloads.html","access:open, category:reference_database, data_type_0:gene_ontology, source_0:gene_ontology_resource_go, status:current","DB, DB_Object_ID, DB_Object_Symbol, Qualifier, GO_ID, DB_Reference, Evidence_Code, With_or_From, Aspect, DB_Object_Name, DB_Object_Synonym, DB_Object_Type, Taxon, Date, Assigned_By, Annotation_Extension,"
"GENENAMES MAPPING","isb-cgc","genome_reference","genenames_mapping","`isb-cgc.genome_reference.genenames_mapping`","","REFERENCE DATABASE","","ISB-CGC","GENOME ANNOTATION","","CURRENT","45,740","2/23/2018","","Data was loaded from multiple sources including NCBI, HGNC, ENSEMBL in Feb 2018 to simplify mapping between HGNC IDs, HGNC symbols, Entrez Gene IDs, Ensembl Gene IDs, Pubmed IDs,and RefSeq IDs.","access:open, category:reference_database, data_type_0:genome_annotation, source_0:isb-cgc, status:current","HGNC_ID, Approved_Symbol, Approved_Name, Status, Locus_Type, Previous_Symbols, Synonyms, Chromosome, Accession_Numbers, Entrez_Gene_ID, Ensembl_Gene_ID, Pubmed_IDs, RefSeq_IDs,"
"GENIE CLINICAL DATA","isb-cgc-bq","GENIE","clinical_gdc_current","`isb-cgc-bq.GENIE.clinical_gdc_current`","GENIE","CLINICAL BIOSPECIMEN DATA","","CDA, GDC","CLINICAL DATA","","CURRENT","44,756","12/13/2023","1","Data for the GENIE program was extracted by CDA using the GDC API in September 2023. This table contains information about GENIE patient cases and their clinical information.  More details: see https://docs.gdc.cancer.gov/Encyclopedia/pages/Clinical_Data/","access:open, category:clinical_biospecimen_data, data_type:clinical_data, program:genie, source_0:cda, source_1:gdc, status:current","submitter_id, case_id, primary_site, disease_type, index_date, proj__name, proj__project_id, demo__demographic_id, demo__gender, demo__race, demo__ethnicity, demo__days_to_birth, demo__state, demo__created_datetime, demo__updated_datetime, diag__diagnosis_id, diag__primary_diagnosis, diag__site_of_resection_or_biopsy, diag__tumor_grade, diag__morphology, diag__tissue_or_organ_of_origin, diag__state, diag__created_datetime, diag__updated_datetime, state, created_datetime, updated_datetime,"
"GENIE CLINICAL DATA REL38 VERSIONED","isb-cgc-bq","GENIE_versioned","clinical_gdc_r38","`isb-cgc-bq.GENIE_versioned.clinical_gdc_r38`","GENIE","CLINICAL BIOSPECIMEN DATA","","CDA, GDC","CLINICAL DATA","","CURRENT","44,756","12/13/2023","","Data for the GENIE program was extracted by CDA using the GDC API in September 2023. This table contains information about GENIE patient cases and their clinical information.  More details: see https://docs.gdc.cancer.gov/Encyclopedia/pages/Clinical_Data/","access:open, category:clinical_biospecimen_data, data_type:clinical_data, program:genie, source_0:cda, source_1:gdc, status:current","submitter_id, case_id, primary_site, disease_type, index_date, proj__name, proj__project_id, demo__demographic_id, demo__gender, demo__race, demo__ethnicity, demo__days_to_birth, demo__state, demo__created_datetime, demo__updated_datetime, diag__diagnosis_id, diag__primary_diagnosis, diag__site_of_resection_or_biopsy, diag__tumor_grade, diag__morphology, diag__tissue_or_organ_of_origin, diag__state, diag__created_datetime, diag__updated_datetime, state, created_datetime, updated_datetime,"
"GENIE HG38 PER SAMPLE FILE METADATA","isb-cgc-bq","GENIE","per_sample_file_metadata_hg38_gdc_current","`isb-cgc-bq.GENIE.per_sample_file_metadata_hg38_gdc_current`","GENIE","METADATA","hg38","CDA, GDC","FILE METADATA","","CURRENT","80,415","12/13/2023","1","Data was extracted from file metadata information for GENIE provided by CDA in September 2023 from the GDC release 38. More details: https://docs.gdc.cancer.gov/Data/Release_Notes/Data_Release_Notes/#data-release-380","access:open, category:metadata, data_type:file_metadata, program:genie, reference_genome_0:hg38, source_0:cda, source_1:gdc, status:current","file_gdc_id, case_gdc_id, case_barcode, sample_gdc_id, sample_barcode, sample_type_name, project_short_name, project_short_name_suffix, program_name, data_type, data_category, experimental_strategy, file_type, file_size, data_format, platform, file_name_key, index_file_id, index_file_name_key, index_file_size, access, acl,"
"GENIE HG38 PER SAMPLE FILE METADATA REL38 VERSIONED","isb-cgc-bq","GENIE_versioned","per_sample_file_metadata_hg38_gdc_r38","`isb-cgc-bq.GENIE_versioned.per_sample_file_metadata_hg38_gdc_r38`","GENIE","METADATA","hg38","CDA, GDC","FILE METADATA","","CURRENT","80,415","12/13/2023","","Data was extracted from file metadata information for GENIE provided by CDA in September 2023 from the GDC release 38. More details: https://docs.gdc.cancer.gov/Data/Release_Notes/Data_Release_Notes/#data-release-380","access:open, category:metadata, data_type:file_metadata, program:genie, reference_genome_0:hg38, source_0:cda, source_1:gdc, status:current","file_gdc_id, case_gdc_id, case_barcode, sample_gdc_id, sample_barcode, sample_type_name, project_short_name, project_short_name_suffix, program_name, data_type, data_category, experimental_strategy, file_type, file_size, data_format, platform, file_name_key, index_file_id, index_file_name_key, index_file_size, access, acl,"
"GENOME-WIDE HUMAN SNP ARRAY 6.0 ANNOTATION","isb-cgc","genome_reference","GenomeWideSNP6_na35_annot_hg19","`isb-cgc.genome_reference.GenomeWideSNP6_na35_annot_hg19`","","REFERENCE DATABASE","hg19","AFFYMETRIX GENOME WIDE HUMAN SNP ARRAY","GENE EXPRESSION, MICROARRAY","","CURRENT","934,968","11/1/2018","","Data was loaded from Affymetrix Genome-Wide Human SNP Array 6.0 on November 2018. More details: https://www.thermofisher.com/order/catalog/product/901150","access:open, category:reference_database, data_type_0:gene_expression, data_type_1:microarray, reference_genome_0:hg19, source_0:affymetrix_genome_wide_human_snp_array, status:current","Probe_Set_ID, dbSNP_RS_ID, Chromosome, Physical_Position, Strand, ChrX_pseudo_autosomal_region_1, Cytoband, Flank, Allele_A, Allele_B, Associated_Gene, Genetic_Map, Microsatellite, Fragment_Enzyme_Type_Length_Start_Stop, Allele_Frequencies, Heterozygous_Allele_Frequencies, Number_of_individuals, In_Hapmap, Strand_Versus_dbSNP, Copy_Number_Variation, Probe_Count, ChrX_pseudo_autosomal_region_2, In_Final_List, Minor_Allele, Minor_Allele_Frequency, pct_GC, OMIM,"
"GEORGETOWN LUNG CANCER CLINICAL DATA","isb-cgc-bq","GPRP","clinical_georgetown_lung_cancer_pdc_current","`isb-cgc-bq.GPRP.clinical_georgetown_lung_cancer_pdc_current`","GEORGETOWN PROTEOMICS","CLINICAL BIOSPECIMEN DATA","","PDC","CLINICAL DATA","","CURRENT","11","5/27/2021","","Data for the Georgetown Lung Cancer Proteomics Study project was extracted using PDC API V1.17 in May 2021. This table contains information about patient cases and their clinical information. More details: see https://pdc.cancer.gov/data-dictionary/dictionary.html","access:open, category:clinical_biospecimen_data, data_type:clinical_data, program:georgetown_proteomics, source:pdc, status:current","case_id, case_submitter_id, project_submitter_id, primary_site, disease_type, demographic_id, demographic_submitter_id, gender, diagnosis_id, diagnosis_submitter_id, primary_diagnosis, last_known_disease_status, tissue_or_organ_of_origin,"
"GEORGETOWN LUNG CANCER CLINICAL DATA V1_17 VERSIONED","isb-cgc-bq","GPRP_versioned","clinical_georgetown_lung_cancer_pdc_V1_17","`isb-cgc-bq.GPRP_versioned.clinical_georgetown_lung_cancer_pdc_V1_17`","GEORGETOWN PROTEOMICS","CLINICAL BIOSPECIMEN DATA","","PDC","CLINICAL DATA","","CURRENT","11","5/27/2021","","Data for the Georgetown Lung Cancer Proteomics Study project was extracted using PDC API V1.17 in May 2021. This table contains information about patient cases and their clinical information. More details: see https://pdc.cancer.gov/data-dictionary/dictionary.html","access:open, category:clinical_biospecimen_data, data_type:clinical_data, program:georgetown_proteomics, source:pdc, status:current","case_id, case_submitter_id, project_submitter_id, primary_site, disease_type, demographic_id, demographic_submitter_id, gender, diagnosis_id, diagnosis_submitter_id, primary_diagnosis, last_known_disease_status, tissue_or_organ_of_origin,"
"GEORGETOWN LUNG CANCER PER SAMPLE FILE METADATA FOR PDC","isb-cgc-bq","GPRP","per_sample_file_metadata_georgetown_lung_cancer_pdc_current","`isb-cgc-bq.GPRP.per_sample_file_metadata_georgetown_lung_cancer_pdc_current`","GEORGETOWN PROTEOMICS","METADATA","","PDC","FILE METADATA","","CURRENT","1,200","6/11/2021","","Per-sample file metadata for the Georgetown Lung Cancer Proteomics Study project was generated using information from PDC data release V1.17, downloaded May 2021.","access:open, category:metadata, data_type:file_metadata, program:georgetown_proteomics, source:pdc, status:current","file_id, case_id, case_submitter_id, sample_id, sample_submitter_id, sample_type, project_short_name, project_submitter_id, program_short_name, program_name, data_category, experiment_type, file_type, file_size, file_format, instrument, file_name, file_location, access,"
"GEORGETOWN LUNG CANCER PER SAMPLE FILE METADATA FOR PDC V1_17 VERSIONED","isb-cgc-bq","GPRP_versioned","per_sample_file_metadata_georgetown_lung_cancer_pdc_V1_17","`isb-cgc-bq.GPRP_versioned.per_sample_file_metadata_georgetown_lung_cancer_pdc_V1_17`","GEORGETOWN PROTEOMICS","METADATA","","PDC","FILE METADATA","","CURRENT","1,200","6/11/2021","","Per-sample file metadata for the Georgetown Lung Cancer Proteomics Study project was generated using information from PDC data release V1.17, downloaded May 2021.","access:open, category:metadata, data_type:file_metadata, program:georgetown_proteomics, source:pdc, status:current","file_id, case_id, case_submitter_id, sample_id, sample_submitter_id, sample_type, project_short_name, project_submitter_id, program_short_name, program_name, data_category, experiment_type, file_type, file_size, file_format, instrument, file_name, file_location, access,"
